recipe_id,recipe_name,source_file,best_time_of_day,meal_type,veg_nonveg,pcos_friendly,energy_kcal,protein_g,carbs_g,fat_g,servings,ingredients_raw,prep_time_min,cooking_method,high_protein,low_oil,low_sugar
11,"Open sprouts sandwich","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,120,5.8,20.5,1.6,1,"Multigrain Bread: 1, Moong sprouts: 15g, Tomato: 25g, Onion: 25g, Capsicum: 25g, Ghee: 2g, Spices as per taste","10","toast",0,0,1
12,"Steamed multi flour momos","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,150,3.5,25,4,1,"Brown rice flour: 15g, Besan: 15g, Carrot: 10g, Onion: 10g, Capsicum: 10g, Oil: 2.5g","15","steam",0,1,1
13,"Vegetable sprouts cheela","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,160,3,12,3,1,"Moong Sprouts: 50g, Besan: 30g, Tomato: 15g, Onion: 15g, Capsicum: 15g, Coriander: 15g, Salt, Chaat masala, Chilly powder, Oil: 5g","15","tawa",0,0,1
14,"Egg vegetable roti","PCOS-Recipes-1.pdf","morning","breakfast","egg",1,150,5,22,3.9,1,"Oats flour: 15g, Jowar flour: 15g, Egg white: 1, Onion: 5g, Tomato: 5g, Bell peppers: 5g, Broccoli: 5g, Oil: 2.5g, Salt, Chilly flakes, Black pepper","15","tawa",1,1,1
15,"Multigrain dosa with veg sambar","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,250,12,40,5.3,1,"Black gram dal: 10g, Ragi: 10g, Jowar: 10g, Curd: 10g, Oil: 1g, Sambar: Toor dal: 30g, Onion: 10g, Tomato: 25g, Pumpkin: 10g, Oil: 2.5g","30","tawa_pressure",1,1,1
16,"Veg oats idli with veg sambar","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,216,11.2,32,5.1,1,"Urad dal: 10g, Oats: 20g, Dahi: 10g, Oil: 1g, Sambar: Toor dal: 30g, Onion: 10g, Tomato: 25g, Pumpkin: 10g, Oil: 2.5g","30","steam_pressure",1,1,1
17,"Pizza uttapam","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,200,6.4,25.2,7.3,1,"Sattu atta: 30g, Curd: 10g, Onion: 10g, Tomato: 10g, Capsicum: 10g, Parmesan Cheese: 10g, Oil: 2.5g, Chilly flakes, Salt","20","tawa",0,1,1
18,"Mini oats roti pizza","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,190,6.2,23,7.6,1,"Oats flour: 30g, Jalapeños: 5g, Onion: 25g, Capsicum: 25g, Parmesan Cheese: 10g, Oil: 2.5g, Spices as per taste","15","tawa",1,1,1
19,"Breakfast Platter (fruits+nuts+paneer+sprouts)","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,150,4.1,13.8,6.5,1,"Apple: 50g, Muskmelon: 50g, Paneer: 20g, Sprouts: 30g, Spices as per choice","10","no_cook",1,1,1
20,"Cucumber sprouts pancakes","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,150,7.2,24.5,6,1,"Cucumber: 100g, Sprouts: 30g, Besan flour: 30g, Oil: 5g, Spices as per taste","15","tawa",1,0,1
21,"Quinoa Upma","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,143,4.7,21.6,4.4,1,"Quinoa: 30g, Tomato: 10g, Onion: 10g, Capsicum: 10g, Oil: 2.5g","25","stir_fry",0,1,1
22,"Oats methi Khakra","PCOS-Recipes-1.pdf","morning","breakfast","veg",1,150,6.2,22,4.6,1,"Oats: 30g, Methi: 50g, Oil: 2.5g, Spices as per taste","15","tawa",1,1,1
23,"Cauliflower bajra roti","PCOS-Recipes-1.pdf","afternoon","main_course","veg",1,162,5.7,26.6,4.3,1,"Cauliflower: 100g, Bajra Flour: 30g, Oil: 2.5g, Spices as per choice","15","tawa",0,1,1
24,"Bajra peas roti","PCOS-Recipes-1.pdf","afternoon","main_course","veg",1,161,5.4,25.9,4.1,1,"Peas: 30g, Bajra Flour: 15g, Oil: 2.5g, Spices as per choice","20","tawa",0,1,1
25,"Bajra cabbage roti","PCOS-Recipes-1.pdf","afternoon","main_course","veg",1,162,5.1,27.4,4.1,1,"Cabbage: 100g, Bajra Flour: 30g, Oil: 2.5g, Spices as per choice","15","tawa",0,1,1
26,"Radish jowar roti","PCOS-Recipes-1.pdf","afternoon","main_course","veg",1,152,3.9,25.9,3.9,1,"Radish: 100g, Jowar Flour: 30g, Oil: 2.5g, Spices as per choice","20","tawa",0,1,1
27,"Cabbage methi oats roti","PCOS-Recipes-1.pdf","afternoon","main_course","veg",1,200,10.5,30,5,1,"Cabbage: 100g, Oats flour: 30g, Methi: 100g, Oil: 2.5g, Spices as per choice","20","tawa",1,1,1
28,"Mushroom capsicum sabzi","PCOS-Recipes-1.pdf","evening","main_course","veg",1,55,2.5,5.5,2.8,1,"Mushroom: 50g, Capsicum: 100g, Spices as per choice, Oil: 2.5ml","15","saute",0,1,1
29,"Carrot methi sabzi","PCOS-Recipes-1.pdf","evening","main_course","veg",1,98,5.5,14.4,2.9,1,"Methi: 100g, Carrot: 100g, Spices as per choice, Oil: 2.5ml","15","saute",1,1,1
30,"Paneer capsicum sabzi","PCOS-Recipes-1.pdf","evening","main_course","veg",1,71.2,6.1,6.1,2.8,1,"Paneer: 30g, Capsicum: 100g, Spices as per choice, Oil: 2.5ml","15","saute",1,1,1
31,"Masala sprouts sabzi","PCOS-Recipes-1.pdf","evening","main_course","veg",1,66.1,2.5,9.6,2.7,1,"Sprouts: 50g, Onion: 50g, Tomato: 50g, Spices as per choice, Oil: 2.5ml","15","saute",0,1,1
32,"Bulgur wheat pulao","PCOS-Recipes-1.pdf","evening","main_course","veg",1,222,7.1,44.6,3.3,1,"Bulgur: 50g, Onion: 50g, Tomato: 50g, Spices as per choice, Oil: 2.5ml","20","saute",1,1,1
33,"Fruit nut paneer salad","PCOS-Recipes-1.pdf","afternoon","salad","veg",1,120,4.8,10.1,7.4,1,"Mango: 50g (or any fruit), Paneer: 15g, Almonds: 2, Pista: 2, Raisin: 2, Cashew: 2, Spices as per taste","10","no_cook",1,1,0
34,"Beans zucchini pepper salad","PCOS-Recipes-1.pdf","afternoon","salad","veg",1,4.5,3,9.5,0.5,1,"Mung Beans sprouts: 30g, Zucchini: 100g, Capsicum: 100g, Spices as per taste","10","no_cook",0,1,1
35,"Greek salad","PCOS-Recipes-1.pdf","afternoon","salad","veg",1,138.7,4.8,24,4,1,"Hummus: 30g, Cucumber: 100g, Onion: 100g, Capsicum: 100g, Olives: 10g, Spices as per taste","10","no_cook",0,1,1
36,"Coriander Kabuli chana Salad","PCOS-Recipes-1.pdf","afternoon","salad","veg",1,206,8.6,33.8,2.2,1,"Coriander chutney: 30g, Kabuli chana: 75g, Onion: 100g, Tomato: 100g, Spices as per taste","15","no_cook",1,1,1
37,"Mushroom capsicum salad","PCOS-Recipes-1.pdf","afternoon","salad","veg",1,55,2.5,5.5,2.8,1,"Mushroom: 50g, Capsicum: 100g, Spices as per choice, Oil: 2.5ml","15","saute",0,1,1
38,"Popcorn","Fun-Meals-Level-Up.pdf","evening","snack","veg",1,110,3.4,22,1.3,1,"30g fresh popcorn kernel, Salt as per taste","10","stovetop",0,1,1
39,"Chole Bhature","Fun-Meals-Level-Up.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,1,"Khapli wheat flour (for 2pc bhature), Oil spray, 100g Chole","20","steam_airfry",0,1,1
40,"Pav Bhaji","Fun-Meals-Level-Up.pdf","afternoon","main_course","veg",1,NULL,NULL,NULL,NULL,1,"Cauliflower: 50g, Onion: 50g, Tomato: 100g, Capsicum: 50g, Carrot: 25g, Peas: 15g, Sprouts: 30g, Pav Bhaji Masala, Kashmiri Mirch, Garlic, Coriander leaves, Lemon juice, Oil spray, 2pc whole wheat pav OR 1 Roti","30","pressure_saute",0,1,1
41,"Tikki Chaat","Fun-Meals-Level-Up.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,1,"Sweet potato: 50g, Capsicum: 50g, Onion: 50g, Beetroot: 50g, Dahi: 50g, Pomegranate: 5g, Coriander, Coriander chutney, Tamarind chutney: 5g, Chaat masala, Jeera powder, Haldi, Chilly powder, Black pepper, Oil spray, Salt","25","pressure_airfry",0,1,0
42,"Samosa","Fun-Meals-Level-Up.pdf","morning","snack","veg",1,NULL,NULL,NULL,NULL,1,"Flours (jowar/bajra/oat/besan 50% wheat): for 1 roti, Ajwain, Salt, Stuffing: Grated carrot/cucumber/dudhi/60g sweet potato, 30g sprouts, Jeera powder, Chopped onion, Chaat masala, Salt, Chilly powder, Haldi, Air spray, Coriander chutney","20","airfry",0,1,1
43,"Paratha","Fun-Meals-Level-Up.pdf","morning","breakfast","veg",1,NULL,NULL,NULL,NULL,1,"Dough: 15g khapli wheat, 15g Jowar/Bajra/Ragi/Oats/Amaranth Flour, Ajwain, Jeera powder, Salt, Stuffing: Aloo: 15g, Onion, Sprouts: 10g, Spices","15","tawa",0,1,1
44,"Ice Cream","Fun-Meals-Level-Up.pdf","morning","snack","veg",1,NULL,NULL,NULL,NULL,1,"Fruit of choice: 100g (frozen overnight), Pumpkin seeds: 2.5g","5","blender",0,1,0
45,"Pasta","Fun-Meals-Level-Up.pdf","afternoon","main_course","veg",1,NULL,NULL,NULL,NULL,1,"Red lentil/5 pulse pasta: 30g, Onion: 50g, Bell pepper: 50g, Broccoli: 50g, Jalapeños, Cheese (Ricotta/Parmesan/Cream): 10g, Black pepper, Salt, Olive oil: 5ml, Chilly flakes","20","boil_saute",0,1,0
46,"Noodles","Fun-Meals-Level-Up.pdf","afternoon","main_course","veg",1,NULL,NULL,NULL,NULL,1,"Shirataki/Millet/Quinoa/Red rice noodles: 30g, Onion: 25g, Spring onion: 25g, Cabbage: 25g, Carrot: 25g, Bell pepper: 25g, Green beans: 25g, Ginger garlic paste, Soya sauce: 5ml, Apple cider vinegar: 5ml, Red chilly sauce: 5ml, Sesame Oil: 5ml","15","boil_saute",0,0,1
47,"Gol Gappe","Fun-Meals-Level-Up.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,6,"Puri: Suji ready-to-fry gol gappa puri, Pani: Mint leaves, Coriander, Onion, Pani puri masala, Chaat masala, Pink salt, Meethi Chutney: Kala jamun: 100g, Kali mirch, Pink salt, Jeera powder, Stuffing: Boiled chana/sprouts","15","airfry",0,1,0
48,"Momos","Fun-Meals-Level-Up.pdf","afternoon","main_course","mixed",1,NULL,NULL,NULL,NULL,1,"Dough: Rice flour: 15g, Ragi/Jowar/Bajra/Amaranth/Kuttu: 15g, Stuffing: Minced chicken breast OR Paneer: 25g, Grated cucumber/carrot/gobi/onion: 50-100g, Salt, Ginger garlic paste, Chutney: Tomato: 100g, Chilly, Onion, Salt","20","saute_steam",1,1,1
49,"Chocolate Pancake","Fun-Meals-Level-Up.pdf","morning","breakfast","mixed",1,NULL,NULL,NULL,NULL,1,"Banana: 100g, Grass fed butter: 5g, Egg: 1 OR Skimmed milk: 50ml, Oats flour: 10g, Salt, Cacao nibs: 5g","10","tawa",0,1,0
50,"Watermelon Mojito","60_flexible_dieting_recipes.pdf","afternoon","beverage","veg",1,NULL,NULL,NULL,NULL,2,"Watermelon: 150g, Sparkling apple cider: 50ml, Fresh lime juice: 6ml, Fresh mint leaves: 2-3, Ice cube: 2, Lime slices, Stevia: 2-3g","15","muddle_blend",0,1,1
51,"Power Packed Milkshake","60_flexible_dieting_recipes.pdf","morning","beverage","veg",1,NULL,NULL,NULL,NULL,2,"Milk: 100ml, Banana: 50g, Dates: 10g, Cocoa powder (unsweetened): 20g, Whey protein: 15.5g, Stevia","15","blend",1,1,1
52,"Paneer Tikka","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,340,23,NULL,NULL,2,"Paneer: 100g, Tomato powder: 5g, Onion powder: 5g, Ginger paste: 3g, Garlic paste: 4g, Red chilly: 2-3g, Turmeric, Tandoori masala: 4-5g, Kitchen king masala: 2-3g, Greek yoghurt: 50g, Salt, Red chilli powder","15","marinate_airfry",1,1,1
53,"Chicken Tikka","60_flexible_dieting_recipes.pdf","evening","snack","chicken",1,275,23.5,NULL,NULL,2,"Chicken: 100g, Onion powder: 5g, Tomato powder: 5g, Ginger paste: 3g, Garlic paste: 4g, Red chilly: 2-3g, Turmeric, Tandoori masala: 4-5g, Kitchen king masala: 2-3g, Greek yoghurt: 50g","20","marinate_airfry",1,1,1
54,"Chhole Kebab","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,480,30,NULL,NULL,2,"Chhole raw: 70g (150g boiled), Potato: 100g, Onion: 50g, Green chilly: 2-3, Coriander: 8g, Peri-peri seasoning: 10-12g, Red chilly powder: 3g, Turmeric, Oil (brush)","15","boil_mash_airfry",1,1,1
55,"Paneer Pakoda","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Paneer: 150g, Besan: 15g, Red chilly powder: 3-4g, Tandoori powder: 6-7g, Water: 10ml, Green chillies: 2-3, Coriander","15","coat_airfry",1,1,1
56,"Channa Chat","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Cumin seeds: 5g, Potato: 100g, Cauliflower: 40g, Onion: 50g, Green chillies: 2, Ginger: 3g, Red chilly powder: 2-3g, Kitchen King masala: 3-4g, Coriander leaves: 8g, Oil: 5g","20","saute",0,0,1
57,"Corn Chaat","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Corn boiled: 40g, Butter: 3g, Onion: 25g, Capsicum: 20g, Cheddar cheese: 20g, Black pepper, Seasoning: 3-4g, Salt","10","saute",0,0,1
58,"Aloo Tikki","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Potato boiled: 50g, Beetroot: 50g, Peas boiled: 20g, Onion: 25g, Rice flour: 5g, Chilli flakes: 2-3g, Oregano: 2g, Paneer: 50g, Oil (brush)","15","mash_airfry",1,1,1
59,"Millet Pancake","60_flexible_dieting_recipes.pdf","morning","breakfast","veg",1,320,12,NULL,NULL,2,"Millet: 60g, Onion: 20g, Green chillies: 1-2, Curry leaves: 8-9, Greek yoghurt: 35g, Sambhar masala: 4-5g, Mustard seeds: 4g, Coriander leaves: 6-7g","15","tawa",0,1,1
60,"Besan Cheela","60_flexible_dieting_recipes.pdf","morning","breakfast","veg",1,NULL,NULL,NULL,NULL,2,"Besan: 75g, Onion: 40g, Tomato: 40g, Capsicum: 15g, Carrots: 25g, Green chillies: 2, Coriander: 5-6g, Jeera powder: 2g, Sabzi masala: 4-5g, Salt, Oil (brush), Water","15","tawa",0,1,1
61,"Egg Pohe","60_flexible_dieting_recipes.pdf","morning","breakfast","egg",1,396,7.2,NULL,NULL,2,"Pohe: 40g, Egg: 1 whole (boiled), Oil: 5ml, Turmeric powder, Red chilli powder: 2g, Mustard seeds: 5g, Curry leaves: 3-4, Onion: 100g","15","saute","0",0,1
62,"Protein Pizza","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Whole wheat flour: 25g, Paneer: 25g, Cheddar cheese: 30g, Capsicum: 15g, Carrots grated: 15g, Pizza seasoning: 2-3g, Oil: 5ml, Salt","15","tawa",1,0,1
63,"Channa Chat","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Black channa boiled: 40g, Potato boiled: 20g, Onion: 20g, Tomato: 20g, Green chillies: 2, Coriander leaves: 4-5g, Lemon juice: 6ml, Black salt: 2-3g, Jeera powder: 2-3g, Cabbage: 15g, Beetroot boiled: 15g","10","no_cook",0,1,1
64,"Manchow Soup","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Oil: 5ml, Garlic: 6g, Green chillies: 2, Onion: 100g, Cabbage: 50g, French beans: 60g, Capsicum: 50g, Carrot: 50g, Mushroom: 150g, Ginger: 4g","15","boil",0,0,1
65,"Banana Chips","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Green banana: 200g, Coconut oil: 5ml, Salt, Turmeric: pinch","20","airfry",0,1,1
66,"Chilli Chicken","60_flexible_dieting_recipes.pdf","evening","main_course","chicken",1,NULL,NULL,NULL,NULL,2,"Tomato: 100g, Onion: 100g, Bell peppers: 50g, Coconut oil: 5g, Chicken: 160g, Water: 60ml, Salt, Soy sauce: 8g, Maggie hot & sweet sauce: 16g","20","saute",1,1,1
67,"Chicken Burger","60_flexible_dieting_recipes.pdf","evening","main_course","chicken",1,NULL,NULL,NULL,NULL,2,"Chicken mince: 100g, Burger bun: 1, Veeba low fat mayo: 20g, Lettuce, Egg whites: 20g, Paprika, Salt, Oregano","15","airfry",1,1,1
68,"Green Spaghetti","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Peas: 70g, Paneer: 70g, Garlic: 3-4 cloves, Basil: 2-3 leaves, Milk: 20ml, Spaghetti: 50g, Oil: 5g, Water, Salt","20","boil_blend_saute",1,0,1
69,"Paneer Corn Sandwich","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Paneer: 70g, Corn: 15g, Capsicum: 15g, Tomato: 25g, Onion: 20g, Peri-peri seasoning: 5g, High protein bread: 100g (2 slices), Oil (brush)","10","pan_toast",1,0,1
70,"Hara Bhara Kebab","60_flexible_dieting_recipes.pdf","evening","snack","veg",1,NULL,NULL,NULL,NULL,2,"Spinach: 70g, Green bell peppers: 40g, Peas boiled: 50g, Chickpea flour: 30g, Red chilli powder: 4g, Cumin powder: 4g, Coriander powder: 10g, Amchur powder: 5g, Asafoetida, Oil (brush)","15","mash_airfry",0,1,1
71,"Palak Parantha","60_flexible_dieting_recipes.pdf","morning","breakfast","veg",1,NULL,NULL,NULL,NULL,2,"Whole wheat flour: 25g, Palak chopped: 35g, Salt, Turmeric powder, Kitchen king masala: 2g, Oil (brush)","15","tawa",0,1,1
72,"Paneer Paratha","60_flexible_dieting_recipes.pdf","morning","breakfast","veg",1,NULL,NULL,NULL,NULL,2,"Wheat flour: 25g, Paneer: 50g, Onion: 20g, Capsicum: 15g, Peri-peri seasoning: 2-3g, Salt, Oil (brush)","15","tawa",1,1,1
73,"Egg Curry","60_flexible_dieting_recipes.pdf","evening","main_course","egg",1,200,NULL,NULL,NULL,2,"Onion: 75g, Tomato: 50g, Ginger: 3g, Garlic: 4g, Red chilly: 5g, Turmeric, Coriander powder: 5g, Cinnamon: 1/2, Cloves: 1, Bay leaf: 1, Cardamom, Eggs boiled: 2, Maggie masala: 1 sachet, Oil","15","grind_saute",0,0,1
74,"Egg Bhurji","60_flexible_dieting_recipes.pdf","evening","main_course","egg",1,230,13.7,NULL,NULL,2,"Onions: 60g, Tomato: 50g, Capsicum: 30g, Green chillies: 2-3, Red chilli powder: 4-5g, Coriander powder: 4g, Kitchen king masala: 5-6g, Whole egg: 1, Egg whites: 5, Coriander leaves: 7-8g, Oil: 3ml","15","saute",1,1,1
75,"Spicy Fish Fry","60_flexible_dieting_recipes.pdf","evening","main_course","fish",1,204,29,NULL,NULL,2,"Tuna fish: 100g, Ginger garlic paste: 15g, Green chilly: 2-3, Tomato: 50g, Coriander: 5-6g, Salt, Oil: 5ml, Coriander powder: 2-3g, Red chilly powder: 2-3g","15","saute",1,0,1
76,"Prawns Koliwada","60_flexible_dieting_recipes.pdf","evening","main_course","prawns",1,NULL,NULL,NULL,NULL,2,"Prawns: 150g, Besan: 15g, Rice flour: 10g, Cumin powder: 4-5g, Carom seeds: 2-3g, Water: 15ml, Red chilly powder: 3-4g, Black pepper","15","coat_airfry",0,1,1
77,"Garlic Fish Curry","60_flexible_dieting_recipes.pdf","evening","main_course","fish",1,320,34,NULL,NULL,2,"Fish: 150g, Garlic: 15g, Ginger: 10g, Tomato: 60g, Green chillies: 2-3, Coriander: 5-6g, Turmeric: 2g, Red chilly powder: 3g","15","grind_saute",1,0,1
78,"Paneer Bhurji (Without Oil)","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Onions: 60g, Tomato: 50g, Capsicum: 30g, Green chillies: 2-3, Red chilli powder: 4-5g, Coriander powder: 4g, Kitchen king masala: 5-6g, Paneer: 80g, Coriander leaves: 7-8g, Water: 20ml","15","water_saute",1,1,1
79,"Shahi Paneer","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,390,18.5,NULL,NULL,2,"Paneer: 75g, Onion: 50g, Tomato: 100g, Garlic: 4g, Ginger: 3g, Kasuri methi: 7g, Cashews: 15g, Milk: 20ml, Salt, Turmeric, Coriander powder: 3g, Red chilli powder: 4g","15","grind_saute",1,0,1
80,"Rice Bowl","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,350,18,NULL,NULL,2,"Rice: 50g, Peas: 25g, Paneer: 50g, Tomato: 100g, Onion: 50g, Peri peri seasoning: 5g, Coriander: 4g","15","saute",1,0,1
81,"Kadhi Chawal","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,350,NULL,NULL,NULL,2,"Rice: 50g, Besan: 25g, Curd: 50g, Turmeric: pinch, Curry leaves: 3-4, Green chillies: 2-3, Coriander leaves: 8g, Mustard seeds: 4g","15","boil",0,0,1
82,"Aloo Beans","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,135,NULL,NULL,NULL,2,"Potato: 100g, Beans: 30g, Oil: 5g, Cumin: 5g, Red chilly powder: 2-3g, Kitchen King masala: 3-4g","20","saute",0,0,1
83,"Masala Bhindi","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Bhindi: 100g, Onion: 50g, Tomato: 50g, Garlic: 4g, Ginger: 5g, Cumin powder: 3-4g, Kitchen king masala: 5-6g, Oil: 5ml, Turmeric, Green chillies: 2-3, Red chillies: 4g","20","saute",0,0,1
84,"Gobhi Aloo","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Cumin seeds: 5g, Potato: 100g, Cauliflower: 40g, Onion: 50g, Green chillies: 2, Ginger: 3g, Red chilly powder: 2-3g, Kitchen King masala: 3-4g, Coriander leaves: 8g, Oil: 5g","20","saute",0,0,1
85,"Penne & Cheese","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Lentil pasta: 40g, Almond milk: 20g, Mozzarella cheese: 20g, Cheddar: 15g, Pasta water: 15ml, Peri-peri seasoning: 5g","15","boil_melt",0,0,0
86,"Methi Matar Malai","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Methi: 100g, Peas: 20g, Milk: 30ml, Oil: 5ml, Ginger: 3g, Garlic: 4g, Onion: 50g, Tomato: 25g, Green chillies: 3, Red chilly powder: 3g, Turmeric","25","grind_saute",0,0,1
87,"Pav Bhaji","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Carrots: 70g, Tomato: 70g, Onion: 60g, Capsicum: 60g, Garlic: 4g, Ginger: 3g, Peas: 50g, Pumpkin: 70g, Coriander: 4g, Oil: 5g, Red chilly powder: 2-3g, Pav bhaji masala: 8g","25","boil_grind_saute",0,0,1
88,"Veg Keema","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,170,6.32,NULL,NULL,2,"Paneer: 30g, Mushroom: 40g, Tomato: 25g, Onion: 50g, Ginger: 3g, Garlic: 4g, Garam Masala: 4g, Dried fenugreek: 3-4g, Green chilly: 2, Oil: 5g","15","chop_saute",1,0,1
89,"Chaana Aloo Ki Sukhi Sabzi","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,NULL,NULL,NULL,NULL,2,"Chickpeas: 70g, Potato: 100g, Onion: 50g, Tomato: 50g, Green chilly: 2, Ginger: 3g, Garlic: 4g, Oil: 5ml, Red chilly powder: 3g, Coriander powder: 3g, Garam masala: 4g","20","boil_saute",0,0,1
90,"Daal Makhani Without Oil","60_flexible_dieting_recipes.pdf","evening","main_course","veg",1,440,28,NULL,NULL,2,"Urad daal: 75g, Rajma: 25g, Onion: 80g, Tomato: 140g, Green Chilli: 2-3, Ginger garlic paste: 1 tsp, Jeera: 1 tsp, Salt, Turmeric: 1/4 tsp, Red chilli powder: 1/3 tsp, Garam masala: 1/3 tsp, Curd: 50g","40","pressure_cook",1,1,1
91,"Prawns Biryani","60_flexible_dieting_recipes.pdf","evening","main_course","prawns",1,490,22,NULL,NULL,2,"Rice: 50g, Prawns: 90g, Onion: 60g, Coriander leaves: 8g, Ginger: 3g, Biryani masala: 7g, Garlic: 4g, Garam masala: 4g, Curd: 30g, Chilli powder: 3g, Caraway seeds: 2g, Oil: 5ml, Mint leaves","20","boil_saute",1,0,1
