recipe_id,recipe_name,source_file,best_time_of_day,meal_type,veg_nonveg,heart_healthy,energy_kcal,protein_g,carbs_g,fat_g,servings,ingredients_raw,prep_time_min,cooking_method,high_protein,low_oil,low_sugar
83,"Cabbage carrot poriyal","Heart-Health-Recipes.pdf","afternoon","side_dish","veg",1,100,3,12,3,1,"Cabbage: 100g, Carrot: 50g, Coconut: 10g","12","sauté",0,1,1
84,"Lentil spinach cutlets","Heart-Health-Recipes.pdf","evening","snack","veg",1,150,10,20,4,1,"Lentils: 80g, Spinach: 50g","20","pan_fry",1,1,1
85,"Ragi dosa with chutney","Heart-Health-Recipes.pdf","morning","breakfast","veg",1,180,5,28,4,1,"Ragi batter: 100g, Chutney: 40g","8","griddle",0,1,1
86,"Chickpea cucumber salad","Heart-Health-Recipes.pdf","afternoon","salad","veg",1,160,8,20,4,1,"Chickpeas: 80g, Cucumber: 100g","5","toss",1,1,1
87,"Carrot ginger detox juice","Heart-Health-Recipes.pdf","morning","beverage","veg",1,90,1,20,0,1,"Carrot: 120g, Ginger: 5g","2","juice",0,1,1
88,"Spinach egg scramble","Heart-Health-Recipes.pdf","morning","breakfast","egg",1,170,12,5,10,1,"Eggs: 2, Spinach: 50g","6","scramble",1,1,1
89,"Tomato cucumber raita","Heart-Health-Recipes.pdf","afternoon","snack","veg",1,90,4,8,4,1,"Curd: 100g, Tomato: 40g, Cucumber: 40g","2","mix",0,1,1
90,"Barley vegetable soup","Heart-Health-Recipes.pdf","evening","soup","veg",1,140,6,22,3,1,"Barley: 50g, Vegetables: 150g","25","simmer",1,1,1
91,"Pumpkin carrot mash","Heart-Health-Recipes.pdf","evening","side_dish","veg",1,100,2,20,1,1,"Pumpkin: 80g, Carrot: 60g","15","boil",0,1,1
92,"Grilled tofu steaks","Heart-Health-Recipes.pdf","evening","main_course","veg",1,180,14,8,8,1,"Tofu: 120g, Herbs: 5g","12","grill",1,1,1
93,"Fruits & nuts overnight oats","Heart-Health-Recipes.pdf","morning","breakfast","veg",1,200,6,30,7,1,"Oats: 50g, Milk: 120ml, Nuts: 10g, Fruits: 60g","480","soak",0,1,0
94,"Spinach moong dal soup","Heart-Health-Recipes.pdf","evening","soup","veg",1,130,8,16,2,1,"Moong dal: 60g, Spinach: 60g","20","simmer",1,1,1
95,"Vegetable barley khichdi","Heart-Health-Recipes.pdf","evening","main_course","veg",1,210,8,34,5,1,"Barley: 60g, Vegetables: 120g","22","pressure",1,1,1
96,"Beetroot raita","Heart-Health-Recipes.pdf","afternoon","snack","veg",1,100,4,10,3,1,"Curd: 100g, Beetroot grated: 60g","3","mix",0,1,1
97,"Roti with lauki sabzi","Heart-Health-Recipes.pdf","afternoon","main_course","veg",1,220,6,35,5,1,"Wheat flour: 60g, Bottle gourd: 120g","20","sauté",0,1,1
98,"Carrot coconut smoothie","Heart-Health-Recipes.pdf","morning","beverage","veg",1,160,3,22,7,1,"Carrot: 80g, Coconut milk: 100ml","3","blend",0,1,0
99,"Vegetable dal dhokla","Heart-Health-Recipes.pdf","evening","snack","veg",1,160,8,22,4,1,"Dal batter: 100g, Vegetables: 80g","15","steam",1,1,1
100,"Baked sweet potato chips","Heart-Health-Recipes.pdf","evening","snack","veg",1,120,2,26,2,1,"Sweet potato: 120g, Olive oil: 3g","25","bake",0,1,1
